Date,Open,High,Low,Close,Adj Close,Volume
2016-11-17,3950.000000,4040.000000,3950.000000,4000.000000,3431.399658,84236700
2016-11-18,4020.000000,4030.000000,3960.000000,3970.000000,3405.663818,98115300
2016-11-21,3950.000000,3970.000000,3920.000000,3930.000000,3371.350098,82463000
2016-11-22,3920.000000,3970.000000,3910.000000,3950.000000,3388.507080,69602800
2016-11-23,3930.000000,3970.000000,3920.000000,3940.000000,3379.928467,108352600
2016-11-24,3900.000000,3930.000000,3760.000000,3810.000000,3268.407959,91265600
2016-11-25,3770.000000,3830.000000,3770.000000,3830.000000,3285.565186,65999500
2016-11-28,3850.000000,3860.000000,3820.000000,3840.000000,3294.143555,61860400
2016-11-29,3830.000000,3880.000000,3830.000000,3840.000000,3294.143555,73215900
2016-11-30,3820.000000,3900.000000,3770.000000,3780.000000,3242.672363,145322000
2016-12-01,3820.000000,3900.000000,3810.000000,3860.000000,3311.300781,96825100
2016-12-02,3820.000000,3960.000000,3810.000000,3910.000000,3354.193115,68873200
2016-12-05,3900.000000,4000.000000,3890.000000,3960.000000,3397.085449,56831800
2016-12-06,3930.000000,3960.000000,3900.000000,3910.000000,3354.193115,67135100
2016-12-07,3890.000000,3890.000000,3820.000000,3850.000000,3302.721924,74498300
2016-12-08,3880.000000,3940.000000,3860.000000,3940.000000,3379.928467,80253900
2016-12-09,3930.000000,3980.000000,3910.000000,3960.000000,3397.085449,73229000
2016-12-13,3920.000000,3970.000000,3900.000000,3970.000000,3405.663818,85397800
2016-12-14,3910.000000,3970.000000,3910.000000,3920.000000,3362.771240,53216800
2016-12-15,3840.000000,3940.000000,3830.000000,3910.000000,3370.857178,58982800
2016-12-16,3910.000000,3910.000000,3820.000000,3820.000000,3293.267090,111038700
2016-12-19,3850.000000,3890.000000,3800.000000,3800.000000,3276.024902,64957800
2016-12-20,3750.000000,3800.000000,3710.000000,3730.000000,3215.677002,88601300
2016-12-21,3800.000000,3850.000000,3760.000000,3780.000000,3258.782715,65390700
2016-12-22,3720.000000,3780.000000,3720.000000,3750.000000,3232.919189,53482700
2016-12-23,3790.000000,3790.000000,3670.000000,3690.000000,3181.192627,46232300
2016-12-27,3690.000000,3760.000000,3670.000000,3730.000000,3215.677002,48998200
2016-12-28,3770.000000,3840.000000,3770.000000,3830.000000,3301.888428,39654200
2016-12-29,3830.000000,3960.000000,3810.000000,3940.000000,3396.720459,126802300
2016-12-30,3940.000000,4020.000000,3940.000000,3980.000000,3431.205078,128649100
2017-01-02,3980.000000,3980.000000,3980.000000,3980.000000,3431.205078,0
2017-01-03,3950.000000,3990.000000,3920.000000,3950.000000,3405.341797,71660600
2017-01-04,3880.000000,3980.000000,3880.000000,3950.000000,3405.341797,68494500
2017-01-05,3960.000000,4030.000000,3940.000000,3950.000000,3405.341797,74018400
2017-01-06,3970.000000,4010.000000,3960.000000,4000.000000,3448.447510,44136900
2017-01-09,4000.000000,4030.000000,3990.000000,4020.000000,3465.689453,85713200
2017-01-10,4030.000000,4030.000000,3960.000000,4000.000000,3448.447510,44608000
2017-01-11,3960.000000,4000.000000,3950.000000,3960.000000,3413.962402,47226300
2017-01-12,3920.000000,3970.000000,3920.000000,3960.000000,3413.962402,45738500
2017-01-13,3930.000000,3970.000000,3930.000000,3950.000000,3405.341797,64704600
2017-01-16,3970.000000,4000.000000,3950.000000,3950.000000,3405.341797,42188800
